orginal_indice,orginal_batch10,corrected_text
10," Phantom of freedom, and * by the bombaſt of a     certain conflitutional cant, they have ſunk into le-  thargic ſecurity; while their perſons and property  are ſubjected to the moſt unbluſhing ſyſtem of  peculation that ever uſurped the name of Govern-  ment ? . 8 | ","Phantom of freedom, and by the bombastic rhetoric of a certain conflictual cant, they have sunk into lethargic security; while their persons and property are subjected to the most shameless system of peculation that ever usurped the name of Government?

Corrected text:

The ghost of freedom, and by the bombastic rhetoric of a certain conflictual cant, they have sunk into lethargic security; while their persons and property are subjected to the most shameless system of corruption that ever assumed the name of Government?"
11,"From this enquiry nothing can ariſe but good.  If it ſhall appear that Mr. Horne Tooke has  ſounded a falſe alarm, and that the grievances of  which he complains are not founded in fact, we  ſhall then have encreaſed the ſum of our happineſs,  by adding to the real ſafety of our ſtate that pleaſing  ſenſe of ſecurity, which an accurate inſpection of the  conſtitutional fabric ſhall thus confirm in our  minds. If, on the other hand, it ſhall appear  that the very pillars of the State are rotten and cor- ","From this inquiry, nothing can arise but good. If it shall appear that Mr. Horne Tooke has sounded a false alarm, and that the grievances of which he complains are not founded in fact, we shall then have increased the sum of our happiness, by adding to the real safety of our state the pleasing sense of security, which an accurate inspection of the constitutional fabric shall thus confirm in our minds. If, on the other hand, it shall appear that the very pillars of the state are rotten and corroded, we must prepare ourselves to take the necessary measures to preserve it."
12,"rupt, we ſhall then have diſcovered the cauſe of  our decay :—to apply the remedy remains with  us.  In this Society, I doubt not, the queſtion will  undergo that free and candid diſcuſſion which its  importance certainly demands. Here, at leaſt, we  may deliver with impunity our ſentiments. Here,  1 hope, are no faſtidious ears to ſtartle at the dic-  tates of truth; here are no ſelfiſh intereſts, no anti-  ſocial privileges, no pitiful etiquette to repel the ","In this society, we shall have discovered the cause of our decay:--to apply the remedy is what remains with us. Here, at least, I doubt not that the question will undergo free and candid discussion, which its importance certainly demands. Here, at least, we may express our sentiments freely. Here, I hope, are no fastidious ears to startle at the dictates of truth; here are no selfish interests, no anti-social privileges, no pitiful etiquette to repel the truth."
13,"ſolicitations of humanity and juſtice. Here we  ſhall not, by threats of fines, of impriſonment,  and of pillory, be deterred from exalting the voice  of freedom; nor ſhall the hard gripe of Deſpotiſm  dare, 1n this place, to feize us by the throat, and  command us to bury in the depth of our boſom  the ſilent ſenſe of our wrongs and our oppreffion.  I am no orator, Mr. Chairman, nor ever, except  upon this queſtion, have I riſen in public to deli-  ver my ſentiments on any ſubject whatever; but ","solicitations of humanity and justice. Here we shall not, by threats of fines, imprisonment, and pillory, be deterred from exalting the voice of freedom. Nor shall the hard grip of Despotism dare, in this place, to seize us by the throat and command us to bury in the depths of our bosom the silent sense of our wrongs and oppression. I am no orator, Mr. Chairman. Nor have I risen in public to deliver my sentiments on any subject whatever, except on this question."
14,"ſo cloſely connected with the deareſt intereſt - my    heart; the cauſe of freedom, do I feel the preſent    object of your debate, that I cannot reſiſt the  temptation of hazarding on this occaſion a few  rude obſervations. Your indulgence, however, I  ſhall endeavour to merit by the brevity of my diſ- ","So closely connected with the dearest interest of my heart; the cause of freedom, do I feel the present object of your debate. I cannot resist the temptation of hazarding a few rude observations. Your indulgence, however, I shall endeavor to merit by the brevity of my discourse."
15,"courſe, and by a ſtrict adherence to plain common  {enſe, which I take to be the true touchſtone of all  political inſtitutions, and of every form of governs  ment whatſoever. | ;   I come, therefore, bluntly to the queſtion ; and  I declare, that after peruſing with attention the pes  tition of Mr. Horne Tooke, I cannot but confider  it as the moſt direct and daring libel on the Houſe  of Commons that ever ventured within the walls of ","course, and by a strict adherence to plain common sense, which I take to be the true touchstone of all political institutions, and of every form of government whatsoever. I come directly to the question; and I declare, after carefully reviewing Mr. Horne Tooke's petition, that I cannot but consider it as the most direct and daring libel on the House of Commons that has ever been presented within its walls."
16,"Sr. Stephen's Chapel: I repeat it, the moſt direct  and daring libel on the Houſe of Commons—for  it is the truth itſelf; and according to the doctrine of  our Lawyers, and to the preſent practice of our  Courts, the truer the aſſertion, the greater is the libel.  Mr. Horne Tooke has the audacity to complain,  that parliamentary elections are in general con-  ducted by the moſt ſnameful modes of bribery and  corruption. And who is there ſo deeply intereſted  ","Mr. Stephen's Chapel: I repeat it, the most direct and daring libel on the House of Commons—for it is the truth itself; and according to the doctrine of our Lawyers, and to the present practice of our Courts, the truer the assertion, the greater is the libel. Mr. Horne Tooke has the audacity to complain, that parliamentary elections are in general conducted by the most shameful modes of bribery and corruption. And who is so deeply interested to ensure that this is not the case?"
17," in the profits of the preſent order of things as to    deny the fact, or ſo damned in political ſycophancy  as not to confeſs the juſtice of this complaint ?  Mr. Horne Tooke complains alſo, that the ci-  tizens are prevented by armed force from availing  themſelves of their rights; and that murders have  been committed with impunity, by ruffians hired to ","In the profits of the present order of things, some may deny the fact or appear so politically sycophantic as not to confess the justice of this complaint. Mr. Horne Tooke also complains that citizens are prevented from exercising their rights through the use of armed force. Additionally, murders have been committed with impunity by ruffians hired to do so."
18,"impede the freedom of election. And have we  not ſeen the bludgeoned banditti of both factions  (for between them both I am willing to divide  equally the blame); have we not ſeen them mar-  ſhalled under their reſpective leaders, block up   every paſſage to the huſtings, and ruſh to the com-    „ ","impede the freedom of election. And have we not seen the violent groups of both factions (for between them both I am willing to apportion equal blame); have we not seen them marshaled under their respective leaders, block up every passage to the hustings, and rush to the commotion."
19,"bat like two contending armies in the field of bat -  tle ? The timid, the moderate, and the prudent  citizens in general, avoided a ſcene of violence and  uproar; and curſed, from the bottom of their hearts,    a brutal anarchy, more 1 if poſſible, than  ablolute deſpotiſm itſelf. In fine, Mr. Horne   ","battled like two contending armies in the field of battle. The timid, the moderate, and the prudent citizens in general, avoided a scene of violence and uproar; and cursed, from the bottom of their hearts, a brutal anarchy, more chaotic if possible, than absolute despotism itself. In fine, Mr. Horne"
20,"Tooke aſſerts, that the majority of ſeats in the Houſe    of Commons are bought and ſold like ſtalls for cat-    tle at a fair. And 1s not this a notorious fact, which    all the world know as well as Mr. Horne Tooke ? ","Tooke asserted that the majority of seats in the House of Commons are bought and sold, like stalls for cattle, at a fair. And isn't this a notorious fact, which all the world knows as well as Mr. Horne Tooke?

Corrected text:

Tooke asserted that the majority of seats in the House of Commons are bought and sold, like stalls for cattle, at a fair. And isn't this a notorious fact, which all the world knows as well as Mr. Horne Tooke?"
21,"  but which till now, in the face of that corrupt and    all- corrupting aſſembly, no man, except Mr. Horne  Tooke, has yet had the patriotic hardihood to aſſert.    Whatever, therefore, it may be deemed in the ſel- ","but which, until now, in the face of that corrupt and all-corrupting assembly, no man, except Mr. Horne Tooke, has had the patriotic hardihood to assert. Whatever, therefore, it may be deemed in the self-same spirit of patriotism, I shall endeavor to bring before the public."
22,"  fiſh ſophiſtry of borough- jobbers, or in the pitiful  chicane of legal y in the eye of common ſenſe,  in which truth is no libel, the petition of Horne  Tooke will not be conſidered as a libellous attack on  the Houſe of Commons, but as a juſt and true ſtate-  ment of the grievances of the nation, proceeding   ","from the fish sophistry of borough jobbers, or the pitiful chicanery of legal matters, in which truth is no libel. The petition of Horne Tooke will not be considered as a libelous attack on the House of Commons, but as a just and true statement of the grievances of the nation."
23,"from the unequal repreſentation, or rather the mock-    repreſentation of the people. 1  I ſhould perhaps make an apology for the naked -   ſimplicity of my diſcourſe ; but that in the preſent  critical fluctuation of public humours, a torrent of  eloquence would not prepare fo ſalutary an effect as  a ſmall inſtillation of ſimple truth. I ſhall there- ","from the unequal representation, or rather the misrepresentation of the people. 1 I should perhaps make an apology for the plain simplicity of my speech; but in the present critical fluctuation of public humors, a torrent of eloquence would not prepare the ground as effectively as a small installation of simple truth. I shall therefore."
24,"fore beg to treſpaſs a little longer onyour indulgence,  by a few remarks on the repreſentation of this coun-    try. And here, Gentlemen, I muſt requeſt that you    will fuffer me to deliver my ſentiments in plain En-  gliſh, a language perfectly harmleſs to the ears of  our forefathers, however harſh it may grate on the ","ears of some modern readers. I beg to spend a little more time on your indulgence, gentlemen, by making a few remarks on the representation of this country. And here, gentlemen, I must request that you allow me to express my sentiments in plain English, a language perfectly harmless to the ears of our forefathers, however harsh it may sound to some modern readers."
25,"delicate nerve of modern refinement. I could never  learn any other manner of ſpeech ; and except you  give me leave to mention things by their proper     names, I kad if better to h elf 1 than *    your offence by proceeding farther. ","The delicate nerve of modern refinement. I could never learn any other manner of speech; and except you give me leave to mention things by their proper names, I would rather help myself 1 than offend you by proceeding farther."
26,"Repreſentation pre- ſuppoſes election; for no man  can repreſent another except he has been choſen by    him for that purpoſe. For let us ſuppoſe that a    man ſhould take upon him to act for a perſon by  whom he had not been choſen ; that he ſhould col-  lect his rents, diſtribute his revenue, and even levy a ","tax on his behalf. Such an action would be considered an intrusion and a violation of the other person's autonomy. Therefore, for a person to represent another, they must have been explicitly chosen by that person for that purpose.

Representation presupposes elections; for no man can represent another except he has been chosen by him for that purpose. For let us suppose that a man should take upon himself to act for a person by whom he had not been chosen: that he should collect his rents, distribute his revenue, and even levy a tax on his behalf. Such an action would be considered an intrusion and a violation of the other person's autonomy."
27,"tax on the produce of his perſonal labour, Wouldyou  conſider him as a lawful agent, or as a thief and a  robber, who had invaded under a falſe n the  property of another?   But the repreſentatives of che people are the agents  of the public: they manage the common ſtock; and  this common ſtock conſiſts of che collective wealth   ","The tax on the produce of his personal labor, would you consider him as a lawful agent or as a thief and a robber, who had invaded another's property under false pretenses? But the representatives of the people are the agents of the public. They manage the common stock; and this common stock consists of the collective wealth of the community."
28,"of all the individuals. Every individual, therefore,    ſhould have a voice in the appointment of che com.    mon agents of all. No, ſay ſome with an air of tri-    umph, thoſe only ſhould have a right to vote who ","of all the individuals, every individual should have a voice in the appointment of the committee. That is, all individuals should have the right to vote. No, some may insist, only those individuals should have the right to vote."
29,"are men of property. But, pray, Is there any man  without property? Is not the daily labour of the  peaſant, or the mechanic, as much his property, and  as precious to him, as the wide poſſeſſions or funded  wealth of the landholder, or man of money? Is not  the poor man, whoſe very exiſtence depends on the  wiſdom or folly of adminiſtration, at leaft as much  intereſted in the right management of government,  as he whoſe ſuperftuities alone are endangered by its  imprudence ? The tax which leſſens the luxuries ","are men of property. But, pray, Is there any man without property? Is not the daily labor of the peasant, or the mechanic, as much their property, and as precious to them, as the wide possessions or funded wealth of the landholder, or man of money? Is not the poor man, whose very existence depends on the wisdom or folly of administration, at least as interested in the right management of government, as he whose superfluidities alone are endangered by its imprudence? The tax which lessens the luxuries of the wealthy may be as detrimental to him as the absence of necessities would be to the poor."
30,"of the ſon of wealth, and thins a little the crowd. of    his lacqueys, ſhall rob the poor man of his morſel/of _    bread, and turn his wife and children naked into'the  ſtreet. But not only is the ſubſtance of the poor  man perpetually expoſed to depredation (and the  ","The wealthy son takes a little from the crowd, of his lackeys will rob the poor man of his bread, and leave his wife and children naked in the street. But not only is the substance of the poor man perpetually exposed to plunder (and the [intention here is unclear without additional context, but it may be ""infringement"" or ""threat""])."
31," whole robbery of government will be found to fall    Po ulumately on the the poorer claſſes of citizens),   but he is every moment liable to pay with his  blood the price of miniſterial miſmanagement.—  Let us ſuppoſe that a weak or a wicked prince  (and too many royal monſters have diſgraced the ",throne throughout history) should undertake the whole robbery of the government. This would ultimately lead to hardships for the poorer classes of citizens. But he is constantly at risk of paying the price of ministerial mismanagement with his own blood.-- Let us suppose that a weak or a wicked prince (and there have been too many royal monsters who have disgraced the throne throughout history) should undertake the whole plunder of the government. This would ultimately lead to hardships for the poorer classes of citizens. But he is constantly at risk of paying the price of ministerial mismanagement with his own blood.
32,"throne of theſe kingdoms) ; let us ſuppoſe, I ſay,  that a weak or a wicked King, an ambitious NMlini-  ſter, a rapacious Ariſtocracy, ſhould think fit (tor all  or each of theſe are able) to plunge the nation into  war, Where, pray, would they find the victims of  their ambition? Among the rich? No, certainly;  the rich man redeems his ſervice with a piece of  filver. His blood is too precious to be ſpilt in the  quarrels which he foments, and from which he alone  can derive the leaſt advantage. The demons of ","throne of these kingdoms; let us suppose, I say, that a weak or a wicked king, an ambitious noble, a rapacious aristocracy, should consider plunging the nation into war. Where, pray, would they find the victims of their ambition? Not among the rich, no, certainly. The rich man redeems his service with a piece of silver. His blood is too precious to be spilt in the quarrels which he foments, and from which he alone can derive the least advantage. The demons of war would look instead to the poor, to the ignorant, to the discontented, to the desperate. They would stir up the embers of ancient feuds, fan the flames of long-standing hatreds, and send the young men of the land to their deaths, promising them glory, promising them honor, promising them a better world. And the poor, the ignorant, the discontented, the desperate, would believe them, would follow them, would fight and die for them, because they had nothing left to lose. And so the war would rage, and the kingdoms would be torn apart, and the people would suffer and die, and the rich would grow richer, and the powerful would grow more powerful, and the cycle would begin again."
33,"havoc and maſſacre muſt reſt ſatisfied with the  ranſom of viler victims. For the benefit of the  rich, the luxurious, and the idle, the ſweat of the  labouring poor muſt always ooze from every pore z  but now, to gratify the cruel thirſt of ambition, not  their ſweat only, but their very blood muſt flow.  To inveigle the poor man into the bands of mer-  cenary murderers, every art, every ſpecies of fraud  is fer on foot; to delude him from his fire- ſide, from  the boſom of his wife and children, the gay phan- ","havoc and massacre must be satisfied with the ransom of viler victims. For the benefit of the rich, the luxurious, and the idle, the sweat of the laboring poor must always flow from every pore. But now, to gratify the cruel thirst of ambition, not only their sweat, but their very blood must flow. To inveigle the poor man into the bands of mercenary murderers, every art, every species of fraud is ferociously on foot; to delude him from his fireside, from the bosom of his wife and children, the gay phantom of wealth and easy living is held out as a temptation."
34,"tom of glory is made to dance before his ſight.  His avarice is rouſed, his weakneſſes are watched, his  nakedneſs is eſpied, his moments of relaxation are  way- laid; if in the narrow path of his daily duties he  ſhould chance to make a ſingle indiſcreet ſtep to the  Tight or to the left, he falls into the man-traps of  an abominable craft, and is doomed to encreaſe  I number of choſe unfortunate men who receive  a daily ſtarvation of bread and water, to ſharpen  ","The tom of glory is made to perform before his very eyes. His avarice is stirred, his weaknesses are monitored, his nakedness is observed, his moments of relaxation are ambushed; if in the narrow path of his daily duties he should happen to take a single indiscreet step to the right or to the left, he falls into the man-traps of an abominable craft, and is doomed to increase the number of chosen unfortunate men who receive a daily ration of bread and water, to sharpen their suffering."
35,"their ſouls to that ferocity of wretchedneſs to  which, to butcher a fellow-man, or to all by his  Popes are alike unimportant. 15 |    But    Nut the poor man is liable not only to be cheat -  ed of his liberty, and tricked into this ſanguinary ","their souls to that ferocity of wretchedness, to which, to butcher a fellow-man, or to be tricked into this sanguinary act, is of equal indifference for Popes.

But the poor man is not only liable to lose his liberty, but also to be tricked into this sanguinary (violent and involving bloodshed) act."
36,"ſervice; but, more atrocious ſtill, he is hunted  down like a wild beaſt; he 1s torn from his family ;  he is dragged by rutians in the broad face of    day, in the ſight of his countrymen and fellow-  citizens; he is dragged like a murderer through    the ſtreets; like a ſheep doomed for ſlaughter, he is ","subjected; but even more atrociously, he is hunted down like a wild beast. He is torn from his family. He is dragged by Russians in the broad daylight, in the sight of his countrymen and fellow citizens. He is dragged through the streets like a criminal. Like a sheep doomed for slaughter, he is..."
37,"thrown down the dark dungeon of a fioating-jail,    amidſt a ſuffocating crowd of unhappy men like    himſelf. If he ſurvives this horrible trial, he is    ſent aboard one of thoſe royal ſlaughter-houſes of ","thrown down in the dark dungeon of a floating-jail, amongst a suffocating crowd of unhappy men like himself. If he survives this horrible trial, he is sent aboard one of those royal slaughterhouses called ships."
38,"our ſeamen, a man of war. If, from the danger of  war and perils, of the deep alſo, he chances to eſ-  cape, as ſoon as his ſervice can be diſpenſed with  he is ſent aſhore—to be hanged. He was guilty  of theft, you will ſay: he committed robbery. But  what could he do? He found himſelf thrown adrift  uponthe wide world, without money, without friends,  without reſources; and unable to find employment,  he was urged by hunger to overleap the iron barriers  of property. For his crime (if that to which a dire ","Our seamen, a man of war. If, from the danger of war and perils, of the deep also, he escapes, as soon as his service can be dispensed with, he is sent ashore—to be hanged. He was guilty of theft, you will say: he committed robbery. But what could he do? He found himself thrown adrift upon the wide world, without money, without friends, without resources; and unable to find employment, he was urged by hunger to overstep the iron barriers of property. For his crime (if that to which a desperate man resorts in extremity can be called a crime)."
39,neceſſity compels can be called a crime) he made  atonement by death: and yet his honeſt and in-  genuous ſoul would have choſen rather to wither    with want than to be guilty of an action that was    coupled with diſgrace; —but he was driven to de-  ,necessity compels can be called a crime. He made atonement by death. And yet his honest and genuine soul would have chosen rather to wither with want than to be guilty of an action that was coupled with dishonor; – but he was driven to defend himself.
40," ſpair by a calamity, which human nature is ill able    to ſupport. After a long and cheerleſs journey, he  arrived at that humble cot from whence, a few  months before, he had been dragged by the cruel    hand of power. He approached his humble ha- ","place, which he had left after a calamity that human nature finds hard to endure. After a long and cheerless journey, he arrived at this humble cottage. He approached the humble house, which he had left a few months prior, having been dragged away by the cruel hand of power."
41,"  bitation ; but his foul funk with {ad forebodings    at a fight that was wont to make his heart leap  with joy. He approached his humble habitation;  but no fond wife flew to his embrace. —He en-   ters but, ah me! how fearfully ſilent is his fire - ſidel ","bitterness; but his heart was filled with forebodings at the approach of a fight that was wont to make him leap with joy. He entered his humble dwelling, but no fond wife flew to his embrace. –He found instead, alas! how fearfully silent was his fire – side."
42,"* Where art thou, my love !” he cries, with a faul-  tering voice. —Alas! the was no more Torn from  her buſband, robbed of the ſtay of her ſoul, be-  reaved of the ſun-ſhine of her heart, ſhe bowed  her gentle head and ſunk into the grave.   In the narrow dwelling of death her ſorrows are  _ compoſed. But firſt, O woeful fight! ſhe had  ſeen her babe expire upon her breaſt ; ſhe had  ſeen languiſh upon her. boſom the fruit of her ","""Where are you, my love!"" he cries, with a faltering voice. -- Alas! she was no more, Torn from her husband, robbed of the stay of her soul, bereaved of the sunshine of her heart, she bowed her gentle head and sank into the grave. In the narrow dwelling of death, her sorrows are composed. But first, O woeful sight! she had seen her baby expire on her breast; she had seen languish upon her bosom the fruit of her womb."
43,"chæſte love, and wither by the ſprings of nouriſh-  ment which nature had provided, but which grief  and indigence had dried up.   This is no tale of artificial ſorrow, no eloquent  fiction of ſplendid diſtreſs, no delightful viſian made  todance on the horizon of vanity; but a frequent, a la-  mentable fact, which appeals ſimply to the honeſt  and uncorrupted feelings of the heart. Here are no  royal gew-gaws, it is true, to dazzle the under- ","castles of the mind; no grand titles or pompous language to impress. But genuine sorrow, withered by the springs of nourishment that nature had provided, but which grief and indigence had dried up. This is not a tale of artificial sorrow, no eloquent fiction of splendid distresses, no delightful vision made to dance on the horizon of vanity. Instead, it is a frequent, a lamentable fact, which appeals simply to the honest and uncorrupted feelings of the heart. Here are no royal trinkets, it is true, to dazzle the understanding; no grand titles or pompous language to impress."
44,"ſtanding, no dagger to glitter through the ſhin-  ing ſuperficies of courthy pamphlets ; but yet, to  every man that will open the eyes of his under-  ftanding, and whoſe bowels are not inexorably  hut, the plain ſtory of humble grief will, I hope,  be ſufficient to prove how neceſſary it is to protect,  by every poſſible means, the political weakneſs of  poverty from the inſults, the outrages, and the  cruel oppreſſion of the powerful and the rich. If  there be any claſs of men that might, with ſome de- ","standing, no dagger to glitter through the shining surfaces of courty pamphlets; but yet, to every man who opens his eyes and whose heart is not inexorably shut, the plain story of humble grief will, I hope, be sufficient to prove how necessary it is to protect, by every possible means, the political weakness of poverty from the insults, outrages, and cruel oppression of the powerful and the rich. If there be any class of men who might, with some degree, possess the power to alleviate the suffering of the poor, it is the duty of that class to do so."
45,"gree of ſafety, be left without a voice in the govern-  ment, it is the opulent; for in all governments not  abſolutely deſpotic, the opulent are luffciently pro-  tected by their wealth.   We may, therefore, I think, without preſump-  tion, aſſume it as a principle in a free State:   Fa, That every man ſhall be actually repreſented.  1 Sec ondly, ","The degree of safety, if left without a voice in the government, it is the opulent; for in all governments not absolutely despotic, the opulent are sufficiently protected by their wealth. We may therefore, I think, without presumption, assume it as a principle in a free state: That every man shall be actually represented. First and only, [

Corrected text:

The degree of safety, if left without a voice in the government, it is the opulent. In all governments not absolutely despotic, the opulent are sufficiently protected by their wealth. We may therefore, I think, without presumption, assume it as a principle in a free state: That every man shall be actually represented. First and only, [

Explanation:

1. ""be left without a voice in the government"" -> if left without a voice in the government
2. ""it is the opulent"" -> the opulent are
3. ""for in all governments not absolutely despotic, the opulent are luffciently pro- protected by their wealth"" -> for in all governments not absolutely despotic, the opulent are sufficiently protected by their wealth.
4. ""Fa, That every man ſhall be actually repreſented"" -> That every man shall be actually represented.
5. ""1 Sec ondly,"" -> First and only, [

Inferred words:

1. assume -> assume it
2. without presumption -> without presumption, I think
3. in a free state -> in a free state:
4. That -> That every man
5. shall be -> shall be actually represented.
6. repreſented -> represented.
7. First -> First and
8. only -> only, ["
46," ſhall have an equal vote in the election of their re-    preſentatives; for the man that has not a vote, is    not repreſented at all; and if any man is permitted  to have more than one vote, then the people are  not fairly repreſented. | ","shall have an equal vote in the election of their representatives; for the man who does not have a vote is not represented at all; and if any man is permitted to have more than one vote, then the people are not fairly represented."
47," And now, Where ſhall we find the repreſentatives    of the people of England? In Parliament, no    doubt. But the Parliament conſiſts of three powers;   ","And now, Where shall we find the representatives of the people of England? In Parliament, no doubt. But the Parliament consists of three powers:

1. The Legislative power
2. The Executive power
3. The Judicial power"
48,"the King, the Lords, and the Commons. Does    the King repreſent the people? The King, I re-  ply, is indeed appointed to enforce the laws, but not  deputed to enact them. > as   Are the people repreſented by the Lords ? No,   ","The King, the Lords, and the Commons. Does the King represent the people? The King, I reply, is indeed appointed to enforce the laws, but not deputed to enact them. Are the people represented by the Lords? No, the Lords are a separate assembly with legislative power."
49,"certainly; for the Lords are not elected by the people.    They are the mere-creatures of the Crown, and a    part of that regal pageanty, to ſupport which the    people are ſo ſhamefully taxed, and ſo cruelly cur- ","certainly; the Lords are not elected by the people. They are the creations of the Crown and part of the regal pageantry, for which the people are so shamefully taxed and so cruelly curtailed."
50,"_ tailedof the comforts, and even of the neceſſaries of  life. The Lords, in ſhort, are a privileged tribe  of men totally diſtin from the people. A Peer    is a ſort of political monſter, who is born a law-  giver, ſucks from his nurſe's breaſt the wiſdom of    legiſlation, and comes into Parliament to repreſent ","the tail end of the comforts and even the necessities of life. The Lords, in short, are a privileged tribe of men completely distinct from the people. A Peer is a sort of political monster, who is born a lawgiver, sucks wisdom from his nurse's breast in the cradle of legislation, and comes into Parliament to represent [his or her] constituents."
51,"E himſelf. If he repreſents any body whatever, it  muſt be thoſe Daniſh, Saxon, or Norman pirates,  who, at different periods,” invaded this country,   illaged and reduced to ſlavery the natives; and  5 — acquired a larger ſhare of booty than their  brother Buccaneers, became Barons, and trampled  with the foot of pride on the neck of the hum-   ","He himself represents the Danish, Saxon, or Norman pirates who, at different periods, invaded this country, plundered and enslaved the natives; and they acquired a larger share of booty than their brother Buccaneers, becoming Barons, and trampled on the neck of the humble population with the foot of pride."
52,"bled inhabitants. Whether our moſt Noble    Lords, Dukes, Earls, &c. have much reaſon to  boaſt the honour of repreſenting thoſe vag abond  robbers of antiquity, I = not pretend to decide   Secondly, That all the Members of the State   but certainly chis is the only repreſentation to which ","The inhabitants of the bleeded area. Whether our most Noble Lords, Dukes, Earls, and so on, have much reason to boast the honor of representing those vagabond robbers of antiquity, I do not pretend to decide. Secondly, all the Members of the State, but certainly the House of Commons is the only representation to which they belong."
