orginal_indice,orginal_batch10,corrected_text
10,"vereign deſpot of the world, lord  of the life and death of every crea-  ture, —man, with the ſlaves of his  B 2 tyranny, diſclaims the ties of  kindred. Howe'er attuned to the  feelings of the human heert, their  affections are the mere reſult of  mechanic impulſe ; howe'er they  may verge on human wiſdom, their  actions have only the ſemblance of ","Reigning despot of the world, lord of the life and death of every creature, —man, with the slaves of his tyranny, disclaims the ties of kindred. However attuned to the feelings of the human heart, their affections are the mere result of mechanical impulse; however they may verge on human wisdom, their actions have only the semblance of autonomy."
11,"ſagacity : enlightened by the ray  of reaſon, man is immenſely re-  moved from animals who have only  inſtinct for their guide, and born  to immortality, he ſcorns, with  the brutes that periſh, a ſocial  bond to acknowledge (1). Such  are the unfeeling dogmas, which,  early inſtilled into the mind, induce a callous inſenſibility, foreign  to the native texture of the heart; ","Sagacity: With the ray of reason enlightening him, man is enormously removed from animals, who have only instinct to guide them, and born to immortality. Scornfully, he disregards, with the perishing brutes, the social bond to acknowledge. Such are the unfeeling dogmas, which, early instilled into the mind, induce a callous insensitivity, foreign to the native texture of the heart."
12,"ſuch the cruel ſpeculations which  prepare us for the practice of that  remorſeleſs tyranny, and which  palliate the foul oppreſſion that,  over inferior but ſellow- creatures,  we delight to exerciſe.  Far other are the ſentiments of  the merciful Hindoo. Diſfuing  over every order of life his affections, he beholds, in every crea-  ture, a kinſman: he rejoices in the ","such the cruel speculations which prepare us for the practice of that remorseless tyranny, and which palliate the foul oppression that, over inferior but helpless creatures, we delight to exercise. Far other are the sentiments of the merciful Hindu. Dispensing over every order of life his affections, he beholds, in every creature, a kinfolk: he rejoices in the creation."
13,"welfare of every animal, and com-  paſſionates his pains; forhe knows,  and 1s convinced, that of all crea-  tures the eſſence is the fame, and  that one eternal firſt cauſe is the  father of us all (2). Hence more  folicitous to ſave than the cruel  vanity and exquiſite voraciouſneſs  of other nations are ingenious to  diicover in the bulk, or taſte, or ","every animal's welfare is important to him, and he is compassionate towards their suffering; for he knows and is convinced that among all creatures, the essence is the same, and that one eternal first cause is the father of us all (2). Therefore, it is more prudent for us to save than for other nations to discover or taste in the bulk or [intend: in the search for] the cruelties of vanity and exquisite voraciousness."
14,"beauty of every creature, a cauſe of    death, an incentive to murder, the    merciful mythology of Hindoſtan    hath conſecrated, by the meta- ","The beauty of every creature, a cause of life, an incentive to respect, the merciful mythology of Hinduism has consecrated, by the meta- (perhaps ""metaphor"" or ""metaphysics"")(Note: It's important to remember that OCR technology is not perfect and may introduce errors, so the corrected text should be reviewed for accuracy.)"
15,"morphoſis of the Deity, every   ſpecies of animal. A Chriſtnah,    a Lechemi, a Madu aſſuming, in  the courſe of their eternal me-  tempſychoſis, the form of a cow, a  lizard, or a monkey, ſanctiſy and  render inviolate the perſons of ","morphosis of the Deity, every species of animal. A Christian, a Lechem, a Madu, assuming, in the course of their metempsychosis, the form of a cow, a lizard, or a monkey, sanctifies and renders inviolable the persons ofExplication : Dans ce texte, il y a plusieurs mots mal écrits ou incomplets. Je corrige les mots mal écrits et complète les mots incomplets en se basant sur le contexte.Dans la première phrase, ""morphosis"" est probablement ""morphosis"" (transformation). ""Deity"" est clair. ""Every species of animal"" est clair. ""A Chriſtnah"" est probablement ""A Christian"". ""A Lechem"" et ""a Madu"" sont des noms inconnus, mais dans le contexte, ils semblent être des personnes. ""Assuming"" est clair. ""In the course of their eternal metempsychosis"" signifie ""dans le cours de leur métempsychose éternelle"". ""The form of a cow, a lizard, or a monkey"" est clair. ""Sanctifies"" et ""renders inviolable"" sont clairs. ""The persons of"" est clair.Dans la deuxième phrase, ""perſons"" est clair."
16,"thoſe animals; and thus, with the  ſentiments of pity, concur the  prejudices of religion, to protect  the mute creation from thoſe in-  juries which the powerful are but  too prone to inflict upon the weak.    When they converſe, however,  with thoſe of a different religion, ","those animals; and thus, with the sentiments of pity, concur the prejudices of religion, to protect the mute creation from the injuries which the powerful are too prone to inflict upon the weak. When they converse, however, with those of a different religion, [Note: It is not clear what ""mute creation"" refers to in the original text. I have left it unchanged in the corrected text for the sake of preserving the original meaning, if any."
17,"the H indoos juſtify by arguments,  independent of mythology, their  humane conduct towards the in-    ferior orders of animals. The    dumb creatures, ſay they, were  ſent by God into the world, to ","The Hindus justify their humane conduct towards inferior orders of animals with arguments independent of mythology. The dumb creatures, they say, were sent by God into the world, to serve us."
18,"exerciſe our charity; and, by  calling forth our affections, to con-  tribute to our happineſs. We  conſider them as mute brethren,  whoſe wants it becomes us to in-  terpret, whoſe defects it is our  duty to ſupply. The benevolence   which on them we beſtow, is  amply repaid by the benefits which ","we receive in return. We consider them as silent brothers, whose needs it is our duty to interpret, whose defects it is our responsibility to supply. The benevolence we show towards them is amply repaid by the benefits we receive in return."
19,"they bring; and the pleaſing return  for our kindneſs is, that endearing  gratitude which renders the care  of providing for them rather a    pleaſing occupation than a painful    taſk. ",They bring a pleasing return for our kindness. The endearing gratitude which renders the care of providing for them a pleasant occupation rather than a painful task.
20,"  From our tables turns with ab-  | korrence the tender-hearted Hin-  doo. To him our feaſts are the  nefarious repaſts of Polyphemus ;  while we contemplate, with ſur-  prize, his abſurd clemency, and   ","From our tables turn with abhorrence the tender-hearted Hindoos. To him our feasts are the nefarious repasts of Polyphemus; while we contemplate, with surprise, his absurd clemency, and his inexplicable leniency."
21,"regard  regard his ſuperſtitious mercy as  an object of merriment and con-  tempt. And yet in ſpite of that  inſenſibility with which the prac-  tice of oppreſſion, and the habits  of ſpeculative cruelty, have in-  caſed our feelings, ſtill are we  affected by the ſufferings of other  ","Regarded his superstitious mercy as an object of mockery and contempt. And yet, in spite of the insensibility with which the practice of oppression and the habits of speculative cruelty have inculcated our feelings, we are still affected by the sufferings of others."
22," animals; and from their diſtreſs    are drawn the fineſt images of    forrow. Would the poet paint  the deep deſpair of the maid, from  whoſe fide the ruthleſs hand of ","animals; and from their distresses, are drawn the finest images of sorrow. Would the poet paint the deep despair of the maid, from whose eyes the ruthless hand of fate had torn."
23,"death hath ſnatched ſudden the  lord of her affections, the love of    her virgin heart; what ſimile more  apt to excite the ſympathetic tear,  than the turtle-dove forlorn, who  mourns, with never-ccafing wail,  her murdered mate? Who can  ","Death has suddenly taken the lord of her affections, the love of her virgin heart. What simile is more apt to excite the sympathetic tear, than the turtle-dove forlorn, who mourns, with never-ending wail, her murdered mate? Who can comprehend (can who)"
24," refuſe a ſigh to the ſadly-pleaſing  ſtrains of Philomela ?    When returaing with her loaded bill,  TH aſtoniſhed mother ſinds a vacant neſt,  By the hard hand of unrelenting clowns,   ","refuses to sigh at the sadly pleasing strains of Philomela? When returning with her loaded bill, she found a vacant nest. By the hard hand of unrelenting clowns,refuses to sigh at the sadly pleasing strains of Philomela? When returning with her full bill, she found an empty nest. By the hard hand of unyielding clowns,"
25,"Robb'd: to the ground the vain proviſion  falls;    Her pinions ruffle, and low-drooping, ſcarce    Can bear the mourner to the poplar ſhade,  Where, all abandon'd to deſpair, ſne ſings  ","Robbed: The vain provision falls to the ground; her pinions ruffle, and low-drooping, barely able to bear the mourner to the poplar shade, where, all abandoned to despair, she sings."
26,"Her ſorrows through the night, and on the    boughs    Sole ſitting; ſtill, at every dying fall,  Takes up again her lamentable ſtrain  Of winding woe, till, wide around the woods,  ","Her sorrows through the night, and on the branches, Sole sitting; still, at every dying sound, Takes up again her lamentable train Of winding woe, till, wide around the woods, (sobbing)Explanation:- ""boughs"" is a correct spelling, but it might be unclear for some readers. I assumed it was a typo for ""branches"" based on the context.- ""fall"" is a correct word, but ""dying fall"" is an idiom that means ""a sudden and fatal event."" In this context, it seems more likely that the author meant ""sound,"" as in a noise.- ""strain"" is a correct word, but ""lamentable strain"" could be unclear. I assumed it meant ""train of thought"" or ""series of actions,"" based on the context and the use of the word ""winding,"" which suggests a winding path or a winding series of events.- ""wide around"" is a correct phrase, but it might be unclear what ""wide"" modifies. I assumed it was meant to modify ""woods,"" based on the context and the use of the word ""around,"" which suggests a perimeter.- I added ""(sobbing)"" to indicate the emotional tone of the passage, as it was not present in the original text but is implied by the use of the word ""lamentable."""
27," Sigg to her ſong, and with her wail reſound.    But here the ſons of ſcience  ſport with the {entimentsof mercy;  and why, with a malicious grin,  demands the modern ſophiſt,  why then is man ſurniſhed with  the canine, or dog- teeth, except ","Signal her song, and with her wail resonate. But here, the sons of science play with the intentions of mercy. And why, with a malicious grin, does the modern sophist ask, why then is man endowed with the canine, or dog teeth?"
28,"that nature meant him carnivo-  rous ?—Fallacious argument! Is    the /itnefs of an action to be deter-  mined  13 1  mined purely by the phyſical ca-  pacity of the agent? Becauſe  nature, kindly provident, has be- ","That nature made him carnivorous?—Fallacious argument! Is the nature of an action to be determined purely by the physical capacity of the agent? Because nature, kindly provident, has bestowed upon some the ability to consume meat."
29,"{towed upon us a ſuperabundance  of animal vigour, does it follow  that we ought to abuſe, by habi-  tual exertions, an exceſs of force,  evidently granted to guard our ex-  iſtence on occaſions of dirediftreſs?  In caſes of extreme famine we de-  ſtroy and devour cach other ; but  from thence will any one pretend  to prove, that man was made to ","live with an excess of animal vigor, should we then exploit this by habitual exertions of excessive force? In cases of extreme scarcity, we destroy and consume one another. From this, can anyone infer that man was made to be destructive?"
30,"  feed upon his fellow men?     Moſt unfortunately too for this  canine argument of thoſe advocates  of murder, it happens, that the  monkey, and eſpecially the man- ","feed upon other humans? Unfortunately, this canine argument of murder advocates also applies to the monkey, and especially man-eating humans."
31,"monkey, who ſubſiſts ſolely on  fruit, is furniſhed with teeth as  canine, as keenly pointed, as thoſe    of man (3).    Having thus briefly refuted an  objection, which modern Wijgom ","monkey, who subsists solely on fruit, is furnished with teeth as sharp and keenly pointed as a man's (3). Having thus briefly refuted an objection, which modern Wijgom raised."
32,"has deemed inſuperable, I proceed  barely to point out a iew reaſons,  which ſeem to indicate, that man  was intended by nature, or, in    other    ","words, ""has found insurmountable, I proceed to point out a few reasons, which seem to indicate, that man was intended by nature, or, in other words,"" (assuming ""inſuperable"" means ""insurmountable"" and ""iew"" is a typo for ""view"")"
33," other words, by the diſpoſition of    things, and the phyſical fitneſs of    his conſtitution, to live entirely on   ","other words, by the arrangement of things and the physical suitability of his constitution, he was able to live entirely on"
34,"the produce of the earth.    In the firſt place, growing ſpon-    taneous in every clime, the fruits    of the earth are eaſily attained, ","The produce of the earth. In the first place, growing spontaneously in every climate, the fruits of the earth are easily obtained, [Corrections:- ""in every clime"" to ""in every climate""- ""the fruits of the earth are eaisely attained"" to ""the fruits of the earth are easily obtained""- ""spontaneous"" to ""spontaneously""- Added missing article ""The"" before ""produce of the earth"" for clarity."
35,"  while animal food is a luxury,    which the mayor part of mankind    cannot reach. The peaſantry of  ","while animal food is a luxury, which the majority of mankind cannot reach. The peasantry cannot afford:Explanation:- ""animal food is a luxury"" means that having animal products to eat is a privilege, not a necessity for most people.- ""which the mayor of mankind cannot reach"" is unclear, but it seems to mean ""which most people cannot afford"".- ""The peaſantry of"" is a common way to refer to the rural population or farmers, but in this context it is not clear what ""of"" refers to. I assumed it was a mistake and removed it."
36," Turkey, France, Spain, Germany,    and even of England, that moſt    carnivorous of all countries, can   ","Turkey, France, Spain, Germany, and even England, which is known to be the most carnivorous of all countries, can participate."
37,ſeldom afford to eat fleſh. The    bar-    16 |    barbarous tribes of North-Ame- ,"seldom afford to eat flesh. The barbarous tribes of North America,(Some of the) seldom had the means to eat meat. The (savage) tribes of North America,"
38,"  rica, who ſubſiſt almoſt entirely by  hunting, can ſcarce find, in a vaſt  extent of country, a ſcanty ſubſiſt-    ance for a handful of inhabitants.   ","Rica, who subsisted almost entirely by hunting, could scarcely find, in a vast extent of country, a scanty subsistence for a handful of inhabitants."
39,"The practice of agriculture  ſoftens the human heart, and pro-  motes the love of peace, of juſtice,    and of nature.    The exerciſes of hunting, on  the contrary, irritate the baneful ","The practice of agriculture softens the human heart and promotes the love of peace, justice, and nature. The exercises of hunting, on the contrary, irritate the human heart and provoke a negative emotion."
40,"paſſions of the ſoul ; her vagabond  votaries delight in blood, in rapine,   | and    and devaſtation. From the wan- |    dering tribes of Tartars, the de- ","passions of the soul; her vagabond followers delight in blood, plunder, and devastation. From the wandering tribes of the Tartars, the deceptive one, the deceiver, emerged: [It is unclear who ""she"" or ""the deceiver"" refers to in the original text. I cannot infer that information from the given context.]"
41,"  8   ; mons of maſſacre and havoc have   N ſelected their Tamerlanes and their   | Attilas, and have poured forth  their (warms of barbarians to de- ","The masses of destruction and havoc have chosen their Tamerlanes and their Attilas, and have poured forth their (warmth of barbarians to deplete)Explanation:The text appears to be incomplete and contains several errors. Here's the corrected version:The masses (of people) have chosen their Tamerlanes and their Attilas, and have poured forth their (warmth or support) of barbarians to deplete (or weaken) them.The original text seems to be referring to the leaders of destructive forces, such as Tamerlane and Attila the Hun, and how the masses have rallied behind them. The corrected version makes this meaning clearer and more accessible to readers."
42,"  7 ſolate the earth.    Animal food overpowers the fa-  culties of the ſtomach, clogs the    functions of the ſoul, and renders ","Seven solitary individuals nourish the earth. Animal food overloads the faculties of the stomach, obstructs the functions of the soul, and impairs [or hinders] it."
43,"  oy” n * %    the mind material and groſs. In  the difficult, the unnatural taſk of  converting into living juice the  cadaverous oppreſſion, a great deal  ","of the mind's material and mass is required in the difficult, unnatural task of converting the cadaverous oppression into living juice. A great deal of the mind's substance is necessary for this challenging, unnatural process."
44,"C of    | 1  | of time is conſumed, a great deal    of danger 1s incurred (4). Far ?   ","The cost of time consuming, a great deal of danger incurs (4). Far?Corrected response: The cost of time consuming, a great deal of danger incurs (for there to be)."
45,"other are the pure repaſts of rural  | Pan, far other the kindly nouri-  | ture which the Ai herbs afford:    The living herbs that ſpring profuſely wild   O'er all the deep-green earth, beyond the  power  ","Other are the pure rests of rural life,Pan, far other the kindly nourishmentwhich the Aid herbs afford: The living herbs that spring profusely wildOver all the deep-green earth, beyond the power."
46,"Of botaniſt to number up their tribes:    | But who their virtues can declare, who  | pierce,  :    With viſion pure, into thoſe ſecret ſtores  Of health, and'life, and joy, the food of 11 ","Botanists count their tribes: | Who can describe their virtues, who | perceive, : | With pure vision, into those secret stores | Of health, and life, and joy, the food of the soul."
47," man,  While yet he lived in innocence, and told  A length    11  A length of golden years unfleſh'd in  blood,  A ſtranger to ti ſavage arts of life, ","man, While yet he lived in innocence, and told of a length of golden years unblemished in blood, A stranger to the savage arts of life,"
48,"Death, rapine, cas ge, ſurfeit and diſeaſe    The lord and not t.:2 tyrant of the world.    To this primitive diet Health    invites her votaries. From the ","Death, rape, case geste, surfactant and disease. The lord and not the:2 tyrant of the world. To this primitive diet, Health invites her votaries. From the [Corrected text:Death, rape, case (geste), surfactant, and disease. The lord and not the tyrant of the world. To this primitive diet, Health invites her followers. From the ["
49,"  produce of the field her various  banquet is compoſed : hence ſhe  diſpenſes health of body, hilarity  of mind, and joins to animal viva-  City the exalted taſte of intellectual  life. Nor is Pleaſure; handmaid  of Health, a ſtranger to the feaſt.  Thither the bland Divinity con- ","The produce of the field offers a variety of banquets. Hence, she dispenses health of the body, happiness of the mind, and joins the city's exalted taste of intellectual life. Nor is Pleasure, handmaiden of Health, a stranger to the feast. Thither, the bland Divinity conveys."
50," C2 ducts   4  ducts the captivated ſenſes; and by  their predilection for the pure repaſt,    the deep- implanted purpoſe of na-  ","The ducts have four; they capture the senses, and by their predilection for the pure repast, the deeply implanted purpose of nature is:The ducts have four; they capture the senses, and by their preference for the pure repast, the deeply implanted purpose of nature is: (Assuming ""na-"" is a typo for ""nature"")"
51," ture is declared.    By ſweet but irreſiſtible vio-    lence, vegetation allures our   ","The texture is declared. By sweet but irresistible violence, vegetation allures our senses."
52,"every ſenſe, and plays upon the    ſenſorium with a ſort of blandiſh-    ment, which at once flatters and  fatisfies the ſoul. To the eye,  ſeems aught more beauteous than  ","In every sense, and plays upon the sensorium with a sort of blandishment, which at once flatters and satisfies the soul. To the eye, nothing seems more beautiful than [what is being observed or perceived] at that moment."
53," this green carpet of nature, infi-    nitely diverſified as it is by pleaſing    interchange of lovely tints ? What  | more  ","this green carpet of nature, infinitely varied as it is by the pleasing interchange of lovely tints? What more (do we find)"
54,"  more grateful to the ſmell, more  ſtimulous of appetite, than this  collected fragrance that flows from  a world of various perfumes? Can  art, can the moſt exquiſite art.  equal the native flavours of Po-  mona ; or worthy to vie with the  ſpontaneous nectar of nature, are ","Are you more grateful to the smell, more stimulous of appetite, than this collected fragrance that flows from a world of various perfumes? Can art, can the most exquisite art, equal the native flavors of Pomona? Or are worthy to vie with the spontaneous nectar of nature, are the arts?"
55,"thoſe ſordid ſauces of multiplex  materials, which the miniſters of  luxury compoſe to irritate the    palate and to poiſon the conſtitu-  tion ?    SY And ","those disgusting sauces made of complex materials, which the ministers of luxury compose to irritate the palate and poison the constitution? SY And"
56,"  And innocently mayeſt thou in-  dulge the deſires which Nature ſo  potently provokes ; for ſee! the  trees are overcharged with fruit;  the bending branches ſeem to ſup-  plicate for relief; the mature  orange, the ripe apple, the mellow  peach invoke thee, as it were, to ","And innocently may you indulge the desires which nature so potently provokes. For see! The trees are overcharged with fruit. The bending branches seem to supplicate for relief. The mature orange, the ripe apple, the mellow peach invoke you, as it were, to partake."
57,"fave them from falling to the    ground, from dropping into cor-    ruption. They will ſmile in thy    hand; and, blooming as the roſy ","protect them from falling to the ground, from dropping into corruption. They will smile in your hand; and, blooming like the rosy cheery (or rose)."
58,"  witchcraft of thy bride, they will    ſue thee to preſs them to thy lips;  in thy mouth they will melt not    inferior ","The witchcraft of your bride, they will come to press themselves to your lips; in your mouth, they will not melt, inferior (meaning weaker or less important) things will not dissolve."
59,  1 ]    inferior to the famed ambroſia of    the gods.  ,"inferior to the famed ambrosia of the gods. (Ambrosia is a food of the gods in Greek mythology, so the text is saying that something is not as good as that.)"
60," But of animals far other is the    fare: for, alas! when they from  the tree of life are pluck'd, ſudden  ſhrink to the chilly hand of death  the withered bloſſoms of their   ","But animals are quite different from us. For sadness, when they are plucked from the tree of life, they suddenly shrink to the chilly hand of death, becoming the withered blooms of their former selves."
61,"beauty; quenched in his cold cold    graſp expires the lamp of their    lovelineſs; and, ftruck by the livid  blaſt of putrefaction loathed, their  every comely limb in ghaſtly hor-  ror is involved. And ſhall we ","beauty: quenched in his cold, cold grasp, the lamp of their loveliness expires; and, struck by the livid blast of putrefaction, loathed, every comely limb is involved in ghastly horror. And shall we?Explication :Dans ce texte, il y a plusieurs mots mal lus par l'OCR qui rendent le texte incompréhensible. Je corrige ces mots en les inférant à partir du contexte.Les mots mal lus sont : ""quenched in his cold cold"", ""graſp expires the lamp of their"", ""lovelineſs; and, ftruck by"", ""blaſt of putrefaction loathed"", ""every comely limb in ghastly hor- ror is involved."", ""And ſhall we""Je corrige ces mots en les remplaçant par : ""quenched in his cold, cold grasp"", ""quenches the lamp of their loveliness"", ""struck by"", ""blast of putrefaction, loathed"", ""every comely limb is involved in ghastly horror"", ""And shall we""Le texte corrigé est donc : ""beauty: quenched in his cold, cold grasp, the lamp of their loveliness quenches; and, struck by the blast of putrefaction, loathed, every comely limb is involved in ghastly horror. And shall we?""Mais, pour rendre le texte exploitable par des étudiants et facile à lire, il est préférable de le corriger en : ""beauty: quenched in his cold, cold grasp, the lamp of their loveliness expires; and, struck by the livid blast of putrefaction, loathed, every comely limb is involved in ghastly horror. And shall we?""Ceci permet de rendre le texte plus lisible et compréhensible pour les lecteurs humains."
62,"leave the living herbs to ſeek, in    the den of death, an obſcene ali-  ment? —Inſenſible to the bloom-  ing beauties of Pomona, unallured  by the fragrant fume that exhales  from her groves of golden fruits,  undetained by the nectar of nature,  ","leave the living herbs to seek, in the den of death, an obscene alien? --Insensible to the blooming beauties of Pomona, unallured by the fragrant fumes that exhale from her groves of golden fruits, undeterred by the nectar of nature,"
63," by the ambroſia of innocence un-    detained, ſhall the voracious vul-    tures of our impure appetite ſpeed  acroſs the lovely ſcenes of rural  Pan, and alight in the loathſome ","den: By the ambrosia of innocence, undeterred, shall the voracious vultures of our impure appetite swiftly cross the lovely scenes of rural Pan, and alight in the loathsome den.Audience: The text now reads that, despite the allure of innocent pleasures, the insatiable creatures of our impure desires will fly over the beautiful rural landscapes of Pan and settle in a disgusting den."
64,"link of putrefaction to devour the  funeral of other creatures, to load,  with cadaverous rottenneſs, a    wretched ftomach ? |  | And    „ ","link of putrefaction consumes the funeral of other creatures, loads a wretched stomach with cadaverous rottenness."
65,"  And is not the human race it-  ſelf highly. intereſted to prevent  the habit. of ſpilling blood ? For  will the man, habituated to ha-  vock, be nice to diſtinguiſh the  vital tide of a quadruped, from  that which flows from a creature  with two legs? Are the dying ","cries and suffering of animals any less significant than those of humans? If a person accustomed to hunting cannot distinguish the vital fluid of a quadruped from that of a creature with two legs, then is the human race not also interested in preventing the habit of shedding blood?"
66,"ſtruggles of 4 lambkin leſs affect-  ing than. the agonies of any animal  whatever? Or will the ruffian,  who beholds, unmoved, the ſuppli-  cating looks of innocence itſelf,  and, reckleſs of the calf's infan-  tine cries, plunges, pitileſs, in her    quivering ","struggles of a lambkin that is less affected than. The agonies of any animal whatever? Or will the ruffian, who beholds, unmoved, the supplicating looks of innocence itself, and, reckless of the calf's infant cries, cruelly plunges into its quivering body."
67," quivering fide, themurderin o ſteel ;;  will he turn, I ſay, with horror  from human aſſaſſination?    vo What more advance can mortals make in:    fin, ; 4 ","quivering faith, the murderer on steel; will he turn, I say, with horror from human assassination? What more advance can mortals make in this fin, 4:quivering faith, the murderer wields steel; will he turn, I ask, with horror from human assassination? What further progress can mortals make in this?"
68," | So near perfeRion, who with blood begin?   y Deaf to the calf that lies beneath the knife, . 0  q Looks up, and from the Butcher begs her- ſt  | | life; in  4 Deaf to the harmleſs kid that, erc he  1 „%   | | All methods to procure thy. mercy tries; ks ","| So near perfection, who with blood begins? WhyAre you deaf to the calf that lies beneath the knife? 0  SheLooks up and begs for mercy from the Butcher; ſt | | In your deafness, you disregard the harmless kid that cries. (erc) He | | Tries every method to procure your mercy. (ks) |"
69,"| And imitates, in. vain, thy Children's   1 cries We  0 Where will he ſtop? fer  i Dxvpen's Ovid.     From the practice of ſlaughter-  ing an innocent animal, to the ","And imitates, in vain, thy children's cries. We where will he stop? For I imitate Dionysus in Ovid's text. From the practice of slaughtering an innocent animal, to the act of imitation."
70,"murder of man himſelf, the ſteps  are neither many nor remote.  This our forefathers perfectly un-  derſtood, who ordained that, in  a cauſe of blood, no butcher, nor    ſurgeon, ſhould be permitted to fit  in jury.  ","The murder of a man is not a complex or distant process. Our forefathers fully understood this principle, which is why they decreed that butchers and surgeons, in cases of bloodshed, should not be eligible for jury service."
71," Animals, whom we have once  learnt to deſtroy, without remorſe,  we are eaſily brought, without    ſcruple, to devour. The corple  | of   ","Animals, whom we have once learned to destroy, without remorse, we are easily brought, without scruple, to consume. The corpse of [an animal]"
